Trial,Step,Censored_Node,Avg_RTT,Packet_Loss
5,37,n12,0,100
5,38,n32,0,100
5,39,n2,0,100
5,40,n48,0,100
5,41,n41,0,100
5,42,n15,0,100
5,43,n23,0,100
5,44,n42,0,100
5,45,n30,0,100
5,46,n27,0,100
5,47,n14,0,100
5,48,n6,0,100
6,0,None,338.839,0
6,1,n37,338.196,0
6,2,n12,338.785,0
6,3,n11,337.924,0
6,4,n17,339.153,0
6,5,n0,335.725,0
6,6,n34,338.429,0
6,7,n27,339.979,0
6,8,n42,338.142,0
6,9,n23,339.75,0
6,10,n25,337.133,0
6,11,n35,338.982,0
6,12,n5,337.835,0
6,13,n33,339.821,0
6,14,n14,338.953,0
6,15,n18,339.348,0
6,16,n29,338.52,0
6,17,n47,338.446,0
6,18,n44,340.096,0
6,19,n41,337.963,0
6,20,n13,336.683,0
6,21,n8,338.208,0
6,22,n7,338.99,0
6,23,n45,338.531,0
6,24,n1,339.293,0
6,25,n32,338.339,0
6,26,n2,339.121,0
6,27,n3,339.506,0
6,28,n4,0,100
6,29,n28,0,100
6,30,n46,0,100
6,31,n20,0,100
6,32,n43,0,100
6,33,n40,0,100
6,34,n38,0,100
6,35,n19,0,100
6,36,n9,0,100
6,37,n48,0,100
6,38,n21,0,100
6,39,n30,0,100
6,40,n36,0,100
6,41,n24,0,100
6,42,n16,0,100
6,43,n22,0,100
6,44,n6,0,100
6,45,n39,0,100
6,46,n31,0,100
6,47,n10,0,100
6,48,n49,0,100
7,0,None,270.122,0
7,1,n11,270.702,0
7,2,n0,270.799,0
7,3,n3,270.684,0
7,4,n46,271.881,0
7,5,n8,271.516,0
7,6,n23,270.657,0
7,7,n31,271.429,0
7,8,n48,271.595,0
7,9,n34,269.748,0
7,10,n9,271.375,0
7,11,n5,270.462,0
7,12,n18,271.102,0
7,13,n29,270.836,0
7,14,n21,272.051,0
7,15,n49,270.78,0
7,16,n1,270.571,0
7,17,n33,270.806,0
7,18,n30,271.165,0
7,19,n10,271.249,0
7,20,n13,268.83,0
7,21,n7,270.322,0
7,22,n20,270.891,0
7,23,n24,270.064,0
7,24,n40,271.169,0
7,25,n25,271.114,0
7,26,n12,270.751,0
7,27,n17,270.947,0
7,28,n39,271.422,0
7,29,n15,270.667,0
7,30,n14,271.38,0
7,31,n35,269.694,0
7,32,n36,270.292,0
7,33,n2,0,100
7,34,n16,0,100
7,35,n4,0,100
7,36,n32,0,100
7,37,n27,0,100
7,38,n19,0,100
